Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Gary Neal,SG,0.571,0,6,3.1,7.1,0,0,0,21.2,0,0,0,0,1
Jameer Nelson,PG,0.104,1.5,8.8,5.2,26,1.3,0.3,17,15.8,0.444,0.388,0.489,0.531,0.714
Raul Neto,PG,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,0.451,0.323,0.517,0.505,0.889
Georges Niang,PF,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,0.25,0.083,0.333,0.264,1
Andrew Nicholson,PF,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,0.387,0.185,0.452,0.41,0.643
Joakim Noah,C,0.388,17,25.7,21.3,14.1,1.5,3,19.8,12.5,0.493,0,0.495,0.493,0.436
Nerlens Noel,C,0.359,9.8,22.3,15.9,8.1,3.1,4.1,12.5,17.6,0.595,0,0.597,0.595,0.694
Lucas Nogueira,C,0.429,8.5,16.7,12.6,5.4,2.4,7.2,19.9,9.5,0.66,0.25,0.694,0.67,0.657
Steve Novak,PF,0,0,15.7,7.9,0,0,0,0,14.5,0.286,0.167,1,0.357,
Dirk Nowitzki,PF,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,0.437,0.378,0.463,0.495,0.875
Jusuf Nurkic,C,0.393,12.3,24.8,18.6,13.9,1.8,4.2,18.6,23.9,0.507,0,0.508,0.507,0.571
David Nwaba,SG,0.481,4.3,13.1,8.5,5,1.6,1.4,10.1,11.8,0.58,0.2,0.605,0.586,0.641
Johnny O'Bryant,PF,0.2,12.4,13.7,13.1,12.7,0,1,15.5,21.1,0.5,0.5,0.5,0.55,0.833
Kyle O'Quinn,C,0.201,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,0.521,0.118,0.538,0.523,0.771
Daniel Ochefu,C,0.074,7.6,25.4,16.5,5.8,1.3,0,9.7,18,0.444,,0.444,0.444,0
Jahlil Okafor,C,0.335,7.9,15.5,11.7,9,0.9,3.4,14.4,24.1,0.514,,0.514,0.514,0.671
Victor Oladipo,SG,0.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,0.442,0.361,0.491,0.51,0.753
Kelly Olynyk,C,0.242,5.3,20.7,13,15.2,1.4,1.5,14.6,19,0.512,0.354,0.608,0.579,0.732
Arinze Onuaku,C,0,7.6,16,11.7,9.9,0,2.9,33.3,9.4,0.5,,0.5,0.5,
Chinanu Onuaku,C,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,0.714,,0.714,0.714,1
Kelly Oubre,SF,0.224,4.3,13.9,9.1,4,1.8,0.9,9.2,14.5,0.421,0.287,0.52,0.482,0.758
Zaza Pachulia,C,0.41,12.9,22,17.7,13.6,2.2,2,19.5,15.3,0.534,0,0.538,0.534,0.778
Georgios Papagiannis,C,0.137,7.9,19.9,14,9,0.4,4.4,18.2,16.9,0.549,0,0.56,0.549,0.857
Jabari Parker,PF,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.2,26.5,0.49,0.365,0.525,0.53,0.743
Tony Parker,PG,0.206,0.7,7.3,4,27.8,1.1,0.1,12.5,20.2,0.466,0.333,0.484,0.486,0.726
Chandler Parsons,SF,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,0.338,0.269,0.388,0.394,0.814
Lamar Patterson,SG,0.2,2.8,16.3,9.6,21.1,1.2,0,19.7,22.2,0.2,0.167,0.222,0.233,0.667
Patrick Patterson,PF,0.156,4.4,16.2,10.3,6.6,1.3,1.2,8.5,12.5,0.401,0.372,0.458,0.523,0.717
Chris Paul,PG,0.331,2.5,14.9,8.8,46.8,3.1,0.3,14,24.4,0.476,0.411,0.518,0.555,0.892
Adreian Payne,PF,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0.426,0.2,0.513,0.454,0.737
Cameron Payne,PG,0.041,0.7,10.7,5.7,17.7,1.5,0.9,12.9,20.9,0.332,0.314,0.346,0.402,0.625
Elfrid Payton,PG,0.231,3.9,13.8,8.7,35.7,1.8,1.3,15,21.6,0.471,0.274,0.509,0.493,0.692
Gary Payton,PG,0.227,0,14,7.1,18.1,1.5,3.6,29.2,15.8,0.364,0.111,0.538,0.386,0.6
Paul Pierce,SF,0.186,0.4,18.5,9.7,5,0.7,1.5,17.4,14.8,0.4,0.349,0.481,0.507,0.769
Marshall Plumlee,C,0.633,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,0.533,,0.533,0.533,0.421
Mason Plumlee,C,0.482,8.8,22.5,15.6,19.8,1.6,3.4,15.2,18.1,0.536,0,0.541,0.536,0.58
Miles Plumlee,C,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,0.478,,0.478,0.478,0.641
Jakob Poeltl,C,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.583,,0.583,0.583,0.544
Otto Porter,SF,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.8,15.1,0.516,0.434,0.576,0.608,0.832
Bobby Portis,PF,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,0.488,0.333,0.541,0.531,0.661
Kristaps Porzingis,PF,0.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,0.45,0.357,0.493,0.507,0.786
Dwight Powell,C,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,0.515,0.284,0.571,0.542,0.759
Norman Powell,SG,0.314,2.2,11.7,6.9,9.3,1.9,0.9,10.8,21.1,0.449,0.324,0.514,0.504,0.792
Alex Poythress,PF,0.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.463,0.316,0.543,0.519,0.8
Ronnie Price,PG,0.167,2.4,6.7,4.5,16.9,3.9,0.6,10.4,9,0.167,0.176,0.143,0.229,0.75
Tim Quarterman,SG,0.103,5.5,13.9,9.7,21.1,1.2,3,26.6,22.8,0.448,0.385,0.5,0.534,0
Chasson Randle,PG,0.439,2.2,9.4,5.8,16.8,1.5,0.5,14,19.7,0.408,0.34,0.471,0.49,0.953
Julius Randle,PF,0.365,7.5,25.8,16.3,19.3,1.1,1.4,16.2,21.4,0.488,0.27,0.507,0.499,0.723
Zach Randolph,PF,0.2,11.3,27.4,19.1,13.5,1.1,0.5,8.6,29.2,0.449,0.223,0.474,0.46,0.731
J.J. Redick,SG,0.227,0.6,7.9,4.3,7.8,1.3,0.5,9.1,21.9,0.445,0.429,0.462,0.558,0.891
Willie Reed,C,0.309,13.7,22,17.8,3.9,0.9,3.6,8.7,15.3,0.568,0.25,0.573,0.57,0.557
Josh Richardson,SG,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.394,0.33,0.444,0.467,0.779
Malachi Richardson,SG,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0.412,0.286,0.5,0.471,0.789
Austin Rivers,SG,0.261,1.1,7.5,4.4,15,1.2,0.4,12.4,20.3,0.442,0.371,0.491,0.518,0.691
Andre Roberson,SF,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,0.464,0.245,0.609,0.513,0.423
Brian Roberts,PG,0.32,1.3,9,5.2,18.7,1.1,0.2,15.7,17.9,0.377,0.386,0.372,0.447,0.846
Glenn Robinson,SF,0.225,4.5,14.6,9.6,4.7,1.4,1.2,9.1,12.8,0.467,0.392,0.512,0.54,0.711
Thomas Robinson,PF,0.337,15.8,28.1,21.8,8.8,2.3,1.3,17,20.7,0.536,0,0.538,0.536,0.47
Sergio Rodriguez,PG,0.05,1.5,9.9,5.7,35.4,1.5,0.2,18.9,19.3,0.392,0.365,0.415,0.478,0.667
Rajon Rondo,PG,0.089,4.2,16.6,10.4,37,2.7,0.5,22.4,17.8,0.408,0.376,0.418,0.453,0.6
Derrick Rose,PG,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,0.471,0.217,0.487,0.477,0.874
Terrence Ross,SF,0.103,1,10.9,5.9,7.1,2.3,1.4,8,19.3,0.437,0.363,0.518,0.532,0.831
Terry Rozier,PG,0.161,3.6,16.3,10,15.2,1.8,0.7,9.7,17.1,0.367,0.318,0.405,0.437,0.773
Ricky Rubio,PG,0.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,0.402,0.306,0.443,0.448,0.891
Damjan Rudez,SF,0,1.7,7.1,4.3,9.2,1.9,0.3,9.3,13.6,0.352,0.313,0.458,0.466,
Brandon Rush,SG,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,0.374,0.386,0.356,0.492,0.722
D'Angelo Russell,PG,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,0.405,0.352,0.447,0.483,0.782
Domantas Sabonis,PF,0.139,3,16.4,9.7,7.2,1.2,1.6,14,15.4,0.399,0.321,0.438,0.452,0.657
Larry Sanders,C,0.5,26.3,8.2,17,0,3.8,6.2,29.1,23.6,0.25,,0.25,0.25,1
Dario Saric,PF,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,0.411,0.311,0.469,0.468,0.782
Tomas Satoransky,SG,0.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1,0.418,0.243,0.477,0.449,0.697
Dennis Schroder,PG,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,0.451,0.34,0.486,0.492,0.855
Luis Scola,PF,0.245,11.9,20,16,12.7,1.4,0.7,16.9,18.7,0.47,0.34,0.535,0.526,0.676
Mike Scott,PF,0.136,5.7,15,10.4,12.5,1,1.3,11.3,15.8,0.288,0.148,0.406,0.322,0.875
Thabo Sefolosha,SF,0.19,3.8,14.7,9.3,9.9,3,1.7,11.9,13.3,0.441,0.342,0.484,0.492,0.733
Wayne Selden,SG,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,0.431,0.25,0.6,0.491,0.636
Kevin Seraphin,PF,0.111,8.3,20,14.3,6.7,0.6,3.1,12.3,19,0.551,0,0.556,0.551,0.636
Ramon Sessions,PG,0.449,1.5,8.5,4.9,24.2,1.6,0.3,12.7,20.1,0.38,0.339,0.393,0.42,0.771
Iman Shumpert,SG,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,13.9,0.411,0.36,0.469,0.507,0.789
Pascal Siakam,PF,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.502,0.143,0.515,0.505,0.688
Jonathon Simmons,SG,0.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18,0.42,0.294,0.461,0.456,0.75
Kyle Singler,SF,0.205,2.3,11.5,6.9,3.2,0.9,1,10.8,11.2,0.41,0.189,0.587,0.452,0.765
Marcus Smart,SG,0.334,3.7,10.5,7.1,22,2.6,1.2,15.6,18.8,0.359,0.283,0.42,0.422,0.812
Ish Smith,PG,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,0.439,0.267,0.467,0.458,0.706
J.R. Smith,SG,0.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,0.346,0.351,0.329,0.479,0.667
Jason Smith,C,0.155,6.8,20.4,13.6,5,1,4.3,14.2,16.7,0.529,0.474,0.546,0.585,0.686
Tony Snell,SG,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,0.455,0.406,0.548,0.588,0.81
Marreese Speights,C,0.25,7.9,24.1,16.2,8.1,0.9,2.6,10.2,23.6,0.445,0.372,0.52,0.539,0.876
Tiago Splitter,C,0.355,11.6,20.3,15.9,8.9,0.6,1,14.3,23.9,0.452,0.333,0.48,0.484,0.818
Nik Stauskas,SG,0.237,1.1,10.3,5.7,12.9,1,1.2,15.5,16.4,0.396,0.368,0.433,0.5,0.813
Lance Stephenson,SG,0.108,1.2,14.8,8,24.8,0.7,0.7,17.1,18.7,0.45,0.3,0.48,0.475,0.615
Jarnell Stokes,C,2,15.9,15.6,15.8,40.1,7,0,0,11.4,1,,1,1,0.5
Diamond Stone,C,0.308,4.8,22.7,14,0,0,3.4,11.9,31.3,0.231,,0.231,0.231,1
Rodney Stuckey,PG,0.439,1,12.4,6.8,17.7,1.2,0,15.4,22.2,0.373,0.317,0.391,0.412,0.748
Jared Sullinger,PF,0.167,9.6,16.3,12.9,3.7,1.7,0.7,7.2,21,0.313,0.167,0.4,0.344,0.5
Edy Tavares,C,0.6,16.3,26.7,21.6,5.1,0,17.3,24,13.2,0.8,,0.8,0.8,0
Isaiah Taylor,PG,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0,6.4,0.143,0,0.2,0.143,0.5
Jeff Teague,PG,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,0.442,0.357,0.475,0.492,0.867
Mirza Teletovic,PF,0.108,1.1,15.4,8.3,6.4,0.5,1,7.8,19.1,0.373,0.341,0.46,0.498,0.778
Garrett Temple,SG,0.171,2.2,10,6.1,14.5,2.5,1.5,14.4,14.2,0.424,0.373,0.476,0.519,0.784
Jason Terry,SG,0.119,1.3,7.7,4.5,9.9,1.7,1.3,12.3,9.8,0.432,0.427,0.444,0.582,0.828
Isaiah Thomas,PG,0.441,1.9,7,4.4,32.6,1.4,0.4,10.7,34,0.463,0.379,0.528,0.546,0.909
Lance Thomas,PF,0.209,3.6,12.3,7.9,5,1.1,0.4,8.6,13.1,0.398,0.447,0.371,0.475,0.843
Hollis Thompson,SG,0.145,2.8,13.4,8,6.8,1.3,0.6,4.9,13,0.385,0.337,0.429,0.465,0.655
Klay Thompson,SG,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8,26.1,0.468,0.414,0.516,0.565,0.853
Tristan Thompson,C,0.487,14,19.6,16.9,4.6,0.8,2.9,10.8,11.3,0.6,0,0.604,0.6,0.498
Marcus Thornton,SG,0.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7,0.4,0.35,0.431,0.467,0.852
Mike Tobey,C,0,8.7,4.4,6.6,5.4,0,0,20,9,0.25,,0.25,0.25,
Anthony Tolliver,PF,0.234,4,14.5,9.3,7.7,1.1,1.2,12.6,13.6,0.442,0.391,0.537,0.57,0.744
Axel Toupane,SF,0,0,2.3,1.1,0,1,1.7,0,8.5,0.556,0.25,0.8,0.611,
Karl-Anthony Towns,C,0.289,11.2,27.8,19.4,13.2,1,2.9,11.3,27.5,0.542,0.367,0.582,0.576,0.832
P.J. Tucker,SF,0.193,5.6,17.8,11.6,6,2.5,0.7,11.2,11.2,0.413,0.357,0.451,0.485,0.774
Evan Turner,SF,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,0.426,0.263,0.47,0.454,0.825
Myles Turner,C,0.349,6.2,19.5,13,6.6,1.5,6,9.5,19.5,0.511,0.348,0.536,0.534,0.809
Beno Udrih,PG,0.173,1.1,10.3,5.6,35.4,1.2,0,14.9,19.7,0.467,0.344,0.491,0.495,0.941
Tyler Ulis,PG,0.162,1.9,7.5,4.6,30.5,2,0.4,14.1,20.3,0.421,0.266,0.455,0.445,0.775
Jarrod Uthoff,PF,0.184,7.7,14.8,11.1,12.8,0.9,3.1,6.8,18.1,0.421,0.333,0.448,0.461,0.714
Jonas Valanciunas,C,0.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5,0.557,0.5,0.557,0.558,0.811
Denzel Valentine,SG,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,0.354,0.351,0.363,0.481,0.778
Fred VanVleet,PG,0.198,1.5,14.6,8.1,17.5,2.9,0.6,11.1,20.6,0.351,0.379,0.341,0.401,0.818
Anderson Varejao,C,0.786,15.3,16.8,16.1,13,1.6,2.6,29.8,12.6,0.357,,0.357,0.357,0.727
Greivis Vasquez,PG,0.375,0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0.25,0.333,0.2,0.313,0.667
Rashad Vaughn,SG,0.032,1,11.3,6.2,7.4,2.1,1.9,8.1,17.2,0.365,0.321,0.413,0.449,0.4
Noah Vonleh,PF,0.348,11.4,22.5,17,3.4,1.2,1.7,17.1,13.1,0.481,0.35,0.492,0.494,0.638
Nikola Vucevic,C,0.155,8.6,31.2,19.6,16.9,1.8,2.8,9.6,24.8,0.468,0.307,0.481,0.48,0.669
Sasha Vujacic,SG,0.176,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3,0.309,0.311,0.306,0.393,0.708
Dwyane Wade,SG,0.294,3.8,12.6,8.2,22.4,2.4,1.8,11.3,29.6,0.434,0.31,0.456,0.457,0.794
Dion Waiters,SG,0.192,1.4,11,6.2,23.8,1.5,1.1,12.5,26.3,0.424,0.395,0.438,0.488,0.646
Kemba Walker,PG,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,0.444,0.399,0.476,0.527,0.847
John Wall,PG,0.367,2.3,10.6,6.5,46.9,2.7,1.4,16.2,30.6,0.451,0.327,0.48,0.482,0.801
Taurean Waller-Prince,SF,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,0.4,0.324,0.443,0.458,0.787
T.J. Warren,SF,0.189,6.5,11.7,9,5.8,1.8,1.5,6.1,19.2,0.495,0.265,0.527,0.511,0.773
C.J. Watson,PG,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,0.387,0.305,0.448,0.452,0.864
Briante Weber,PG,0.267,4.3,9.6,7,15,2.9,0.4,10.7,16.3,0.417,0.1,0.48,0.425,0.688
David West,C,0.222,6.4,18.8,13,24.1,2.4,4.4,22,17.9,0.536,0.375,0.541,0.542,0.768
Russell Westbrook,PG,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,0.425,0.343,0.459,0.476,0.845
Okaro White,PF,0.253,5.8,13.5,9.6,6,1.1,1.7,15.7,10.8,0.379,0.353,0.396,0.448,0.909
Isaiah Whitehead,PG,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,0.402,0.295,0.446,0.445,0.805
Hassan Whiteside,C,0.368,12.8,35.3,24,3.8,1.1,5,12,22.7,0.557,,0.557,0.557,0.628
Andrew Wiggins,SF,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29,0.452,0.356,0.473,0.484,0.76
C.J. Wilcox,SG,0.065,3.9,8.3,6,15.5,0.9,0.7,15.8,15.4,0.258,0.2,0.313,0.306,1
Alan Williams,C,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,0.517,0,0.519,0.517,0.625
Deron Williams,PG,0.182,0.9,9.4,5.1,35.9,1,0.4,17.6,22.1,0.438,0.363,0.486,0.509,0.826
Derrick Williams,PF,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9,17.2,0.443,0.309,0.531,0.504,0.652
Lou Williams,SG,0.458,1.4,9.9,5.5,19.9,1.9,0.8,11.8,29.1,0.429,0.365,0.48,0.511,0.88
Marvin Williams,PF,0.213,4.2,19.7,11.9,7.1,1.3,2,7.2,16.3,0.422,0.35,0.494,0.51,0.873
Reggie Williams,SF,0.304,2.7,5.4,4,7.2,1.9,0,0,14.6,0.348,0.455,0.25,0.457,0.857
Troy Williams,SF,0.192,3,11.2,7,7,2.5,1.7,15.4,17.2,0.437,0.29,0.524,0.491,0.656
Kyle Wiltjer,PF,0.143,9.9,14.9,12.4,6.1,3.3,1.8,25.2,19.1,0.286,0.308,0,0.429,0.5
Justise Winslow,SF,0.209,4,12.7,8.3,15.5,2.2,0.8,11.8,19.8,0.356,0.2,0.384,0.371,0.617
Jeff Withey,C,0.466,14.3,17.9,16.2,2.5,1.9,6,10.1,14.9,0.534,0,0.539,0.534,0.75
Christian Wood,PF,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,0.522,0,0.667,0.522,0.733
Metta World,SF,0.235,3.3,10.6,6.8,9.8,2.7,1,8.5,21.9,0.279,0.237,0.333,0.346,0.625
Brandan Wright,PF,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,0.615,0,0.619,0.615,0.657
Delon Wright,PG,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.422,0.333,0.453,0.466,0.764
James Young,SG,0.155,3.1,10,6.6,2.6,2.3,0.7,6.1,13.3,0.431,0.343,0.565,0.534,0.667
Joe Young,PG,0.208,0.8,13.1,7.1,18,1.5,0,6,27.8,0.361,0.217,0.429,0.396,0.733
Nick Young,SG,0.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,0.43,0.404,0.481,0.564,0.856
Thaddeus Young,PF,0.125,6.7,15.8,11.3,8.4,2.6,1.2,11.7,16.5,0.527,0.381,0.557,0.56,0.523
Cody Zeller,PF,0.442,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,0.571,0,0.572,0.571,0.679
Tyler Zeller,C,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.494,0,0.497,0.494,0.564
Stephen Zimmerman,C,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,0.323,,0.323,0.323,0.6
Paul Zipser,SF,0.181,1.9,14.2,8,6.1,0.9,1.5,14.4,14.4,0.398,0.333,0.451,0.473,0.775
Ivica Zubac,C,0.206,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3,0.529,0,0.536,0.529,0.653